timestamp,cpu,ram_percent,disk_percent,network_mb_s,temperature,process_count
2026-02-10 14:41:00,43.0,92.0,2.0,0.004,,285
2026-02-10 14:41:06,79.7,91.6,2.0,0.032,,282
2026-02-10 14:41:12,29.0,92.1,2.0,0.036,,286
2026-02-10 14:41:18,29.7,91.1,2.0,0.054,,286
2026-02-10 14:41:24,10.4,91.0,2.0,0.052,,286
2026-02-10 14:41:30,51.9,91.1,2.0,0.062,,285
2026-02-10 15:33:59,47.3,89.4,2.0,0,,289
2026-02-10 15:34:04,20.4,90.3,2.0,0,,292
2026-02-10 15:34:08,22.6,90.2,2.0,0,,290
2026-02-10 15:34:12,10.2,90.1,2.0,0,,290
2026-02-10 15:34:16,15.4,89.7,2.0,0,,290
2026-02-10 15:34:20,9.2,89.8,2.0,0,,290
2026-02-10 15:34:24,34.6,89.9,2.0,0,,290
2026-02-10 15:34:28,36.4,90.3,2.0,0,,290
2026-02-10 15:34:32,66.9,92.5,2.0,0,,294
2026-02-10 15:34:36,51.3,92.3,2.0,0,,294
2026-02-10 15:34:40,32.0,92.2,2.0,0,,292
2026-02-10 15:34:44,13.1,91.5,2.0,0,,292
2026-02-10 15:34:48,76.9,92.9,2.0,0,,292
2026-02-10 15:34:52,54.3,92.9,2.0,0,,290
2026-02-10 15:34:56,36.0,93.6,2.0,0,,292
2026-02-10 15:35:00,51.5,92.2,2.0,0,,290
2026-02-10 15:35:04,48.7,93.2,2.0,0,,292
2026-02-10 15:35:08,33.8,92.8,2.0,0,,292
2026-02-10 15:35:12,18.6,87.5,2.0,0,,287
2026-02-10 15:35:16,27.4,87.4,2.0,0,,287
2026-02-10 15:35:21,44.3,87.1,2.0,0,,289
2026-02-10 15:35:25,29.3,87.6,2.0,0,,290
2026-02-10 15:35:29,20.6,87.9,2.0,0,,289
2026-02-10 15:35:33,17.3,87.7,2.0,0,,289
2026-02-10 15:35:37,44.4,88.2,2.0,0,,289
2026-02-10 15:35:41,43.1,89.5,2.0,0,,289
2026-02-10 15:35:42,60.4,89.3,2.0,0,,289
2026-02-10 15:35:42,51.1,89.2,2.0,0,,289
2026-02-10 15:35:45,35.7,87.7,2.0,0,,288
2026-02-10 15:35:46,33.5,87.6,2.0,0,,288
2026-02-10 15:35:46,31.0,87.7,2.0,0,,288
2026-02-10 15:35:49,21.5,87.8,2.0,0,,288
2026-02-10 15:35:50,15.0,87.4,2.0,0,,288
2026-02-10 15:35:50,17.6,87.3,2.0,0,,288
2026-02-10 15:35:53,27.1,87.3,2.0,0,,288
2026-02-10 15:35:54,28.9,86.8,2.0,0,,288
2026-02-10 15:35:54,24.7,86.8,2.0,0,,288
2026-02-10 15:35:57,22.3,86.7,2.0,0,,288
2026-02-10 15:35:58,22.3,86.8,2.0,0,,288
2026-02-10 15:35:58,17.4,86.8,2.0,0,,288
2026-02-10 15:36:01,19.1,87.0,2.0,0,,288
2026-02-10 15:36:02,19.1,87.0,2.0,0,,288
2026-02-10 15:36:02,20.3,87.2,2.0,0,,288
2026-02-10 15:36:05,49.2,89.3,2.0,0,,289
2026-02-10 15:36:06,54.8,90.1,2.0,0,,289
2026-02-10 15:36:06,39.5,90.3,2.0,0,,289
2026-02-10 15:36:09,76.8,91.0,2.0,0,,289
2026-02-10 15:36:10,54.7,91.0,2.0,0,,289
2026-02-10 15:36:10,27.1,91.0,2.0,0,,289
2026-02-23 10:07:08,17.8,86.3,1.8,0.003,,
2026-02-23 10:07:51,67.9,89.0,1.8,0.043,,
2026-02-23 10:07:59,19.4,87.1,1.8,0.004,,
2026-02-23 10:08:04,62.1,87.5,1.8,0.012,,
2026-02-23 10:08:09,23.4,87.4,1.8,0.002,,
2026-02-23 10:08:14,21.8,87.4,1.8,0.003,,
2026-02-23 10:08:19,42.9,87.3,1.8,0.007,,
2026-02-23 10:08:24,33.3,87.1,1.8,0.026,,
2026-02-23 10:08:29,17.3,87.3,1.8,0.005,,
2026-02-23 10:08:34,15.4,87.3,1.8,0.002,,
2026-02-23 10:08:39,20.2,87.3,1.8,0.004,,
2026-02-23 10:08:44,20.4,87.3,1.8,0.075,,
2026-02-23 10:08:49,18.4,87.3,1.8,0.003,,
2026-02-23 10:08:54,53.6,87.9,1.8,0.055,,
2026-02-23 10:08:55,50.6,88.2,1.8,0.001,,
2026-02-23 10:08:55,45.4,88.2,1.8,0.001,,
2026-02-23 10:09:03,50.0,87.5,1.8,0.006,,
2026-02-23 10:09:08,23.0,87.7,1.8,0.022,,
2026-02-23 10:09:13,25.8,87.3,1.8,0.005,,
2026-02-23 10:09:18,59.5,88.2,1.8,0.008,,
2026-02-23 10:09:24,41.8,89.2,1.8,0.005,,
2026-02-23 10:09:29,18.3,88.3,1.8,0.006,,
2026-02-23 10:09:32,45.2,89.7,1.8,0.031,,
2026-02-23 10:09:34,52.1,89.6,1.8,0.007,,
2026-02-23 10:09:38,37.9,89.9,1.8,0.005,,
2026-02-23 10:09:40,78.8,88.9,1.8,0.02,,
2026-02-23 10:09:42,85.2,86.5,1.8,0.015,,
2026-02-23 10:09:45,82.2,90.4,1.8,0.003,,
2026-02-23 10:09:49,18.8,82.8,1.8,0.003,,
2026-02-23 10:09:50,21.9,82.8,1.8,0.002,,
2026-02-23 10:09:54,21.1,82.9,1.8,0.004,,
2026-02-23 10:09:55,28.2,83.0,1.8,0.006,,
2026-02-23 10:09:58,35.2,82.4,1.8,0.004,,
